email-enron,1,128,SPU-CPU,36692,183831,3396688,2575996
email-enron,10,128,SPU-CPU,36692,183831,3476166,2690153
email-enron,100,128,SPU-CPU,36692,183831,3434645,2643818
email-enron,1000,128,SPU-CPU,36692,183831,3527726,2645666
email-enron,10000,128,SPU-CPU,36692,183831,3407917,2384001
email-enron,1,64,SPU-CPU,36692,183831,3633170,3250188
email-enron,10,64,SPU-CPU,36692,183831,3537477,3240122
email-enron,100,64,SPU-CPU,36692,183831,3532901,3140758
email-enron,1000,64,SPU-CPU,36692,183831,3664012,3291399
email-enron,10000,64,SPU-CPU,36692,183831,3646345,3243927
email-enron,1,16,SPU-CPU,36692,183831,11857531,11730590
email-enron,10,16,SPU-CPU,36692,183831,11750844,11623623
email-enron,100,16,SPU-CPU,36692,183831,11840318,11689856
email-enron,1000,16,SPU-CPU,36692,183831,11774076,11700852
email-enron,10000,16,SPU-CPU,36692,183831,11760005,11588170
email-enron,1,8,SPU-CPU,36692,183831,22957856,23061797
email-enron,10,8,SPU-CPU,36692,183831,22938537,22862037
email-enron,100,8,SPU-CPU,36692,183831,22838625,22863534
email-enron,1000,8,SPU-CPU,36692,183831,23046646,22974279
email-enron,10000,8,SPU-CPU,36692,183831,22988492,22990767
email-enron,1,1,SPU-CPU,36692,183831,161617135,161953940
email-enron,10,1,SPU-CPU,36692,183831,163977929,163975251
email-enron,100,1,SPU-CPU,36692,183831,162420465,161695343
email-enron,1000,1,SPU-CPU,36692,183831,162590851,162532680
email-enron,10000,1,SPU-CPU,36692,183831,161868182,161688217
