slashdot,1,128,DPC-CPU,51083,140778,112485028,6488415,26058,243
slashdot,10,128,DPC-CPU,51083,140778,110639636,6287604,19778,185
slashdot,100,128,DPC-CPU,51083,140778,112985392,6278100,19905,202
slashdot,1000,128,DPC-CPU,51083,140778,110809393,6356370,20694,208
slashdot,10000,128,DPC-CPU,51083,140778,111807472,6355169,20145,180
slashdot,1,64,DPC-CPU,51083,140778,112063337,9275740,14549,176
slashdot,10,64,DPC-CPU,51083,140778,113548764,9538695,12420,169
slashdot,100,64,DPC-CPU,51083,140778,112235402,9743604,18865,250
slashdot,1000,64,DPC-CPU,51083,140778,111739205,9800583,55616,486
slashdot,10000,64,DPC-CPU,51083,140778,108930319,9535571,18191,257
slashdot,1,16,DPC-CPU,51083,140778,108334314,34360613,15943,204
slashdot,10,16,DPC-CPU,51083,140778,109112183,34770571,35002,500
slashdot,100,16,DPC-CPU,51083,140778,111140132,34907323,16219,224
slashdot,1000,16,DPC-CPU,51083,140778,108826128,31977804,40386,278
slashdot,10000,16,DPC-CPU,51083,140778,107798155,36167792,32958,580
slashdot,1,8,DPC-CPU,51083,140778,108462165,62965755,23490,237
slashdot,10,8,DPC-CPU,51083,140778,109231535,64471407,29001,241
slashdot,100,8,DPC-CPU,51083,140778,108130441,66016385,27786,476
slashdot,1000,8,DPC-CPU,51083,140778,108820642,67651415,16143,518
slashdot,10000,8,DPC-CPU,51083,140778,108185302,66965505,23515,604
slashdot,1,1,DPC-CPU,51083,140778,108226568,304839811,20193,453
slashdot,10,1,DPC-CPU,51083,140778,109094096,330428253,18384,163
slashdot,100,1,DPC-CPU,51083,140778,109523471,314940783,15079,161
slashdot,1000,1,DPC-CPU,51083,140778,108238074,309138615,19764,168
slashdot,10000,1,DPC-CPU,51083,140778,109174440,308075882,20514,253
