brightkite,1,128,SPU-CPU,58228,214078,11742544,9783401
brightkite,10,128,SPU-CPU,58228,214078,11435115,9819113
brightkite,100,128,SPU-CPU,58228,214078,12620470,10165232
brightkite,1000,128,SPU-CPU,58228,214078,11497703,9911041
brightkite,10000,128,SPU-CPU,58228,214078,11297005,9657193
brightkite,1,64,SPU-CPU,58228,214078,10576578,10129393
brightkite,10,64,SPU-CPU,58228,214078,11073030,10541610
brightkite,100,64,SPU-CPU,58228,214078,10804932,10360564
brightkite,1000,64,SPU-CPU,58228,214078,10918341,10576566
brightkite,10000,64,SPU-CPU,58228,214078,11031178,10395698
brightkite,1,16,SPU-CPU,58228,214078,33332891,33234185
brightkite,10,16,SPU-CPU,58228,214078,33210436,33748750
brightkite,100,16,SPU-CPU,58228,214078,33408258,33212901
brightkite,1000,16,SPU-CPU,58228,214078,33957028,33930005
brightkite,10000,16,SPU-CPU,58228,214078,33304948,34137205
brightkite,1,8,SPU-CPU,58228,214078,66657916,66615397
brightkite,10,8,SPU-CPU,58228,214078,63943397,67674862
brightkite,100,8,SPU-CPU,58228,214078,69544311,68545652
brightkite,1000,8,SPU-CPU,58228,214078,68667839,66788624
brightkite,10000,8,SPU-CPU,58228,214078,68763778,72229560
brightkite,1,1,SPU-CPU,58228,214078,491758409,491751889
brightkite,10,1,SPU-CPU,58228,214078,501697170,501300284
brightkite,100,1,SPU-CPU,58228,214078,499975778,499983196
brightkite,1000,1,SPU-CPU,58228,214078,519518230,520075707
brightkite,10000,1,SPU-CPU,58228,214078,510450970,510049379
