19588999,65139
19721013,57881
19312610,63216
20132136,68357
23870180,56888
22363973,59716
21682457,55038
21554691,53709
26140028,96520
25942036,34419
27168555,51297
27129348,60326
35629785,47118
36950549,29847
36215312,36735
37260397,85021
57837649,29101
60486200,45933
58084813,36778
56565198,40588
104893088,31154
105224130,30583
106288020,38005
104345203,27463
188105949,18548
185805046,18541
188790038,18146
189188759,29182
316193650,17495
310268712,18622
310243453,25820
307086468,18505
393754837,18995
391823061,20105
399282497,20059
871201658,45534
