./datasets/PGPgiantcompo.in,128,4619556,10,12589,55,133828,2,151090,297566
./datasets/PGPgiantcompo.in,128,4642333,100,13279,55,147815,34,135538,296724
./datasets/PGPgiantcompo.in,128,4699632,1000,20767,97,228560,162,204889,454476
./datasets/PGPgiantcompo.in,128,4697778,10000,56679,97,147857,684,153071,358390
./datasets/PGPgiantcompo.in,64,4685211,10,1093,63,207283,2,199498,407942
./datasets/PGPgiantcompo.in,64,4698735,100,1404,54,167935,16,166917,336328
./datasets/PGPgiantcompo.in,64,4679131,1000,6257,55,195450,246,199555,401566
./datasets/PGPgiantcompo.in,64,4645197,10000,58296,53,202728,869,204045,465993
./datasets/PGPgiantcompo.in,16,5266802,10,959,52,311901,1,317347,630263
./datasets/PGPgiantcompo.in,16,5232517,100,2881,53,338537,14,328165,669652
./datasets/PGPgiantcompo.in,16,5295557,1000,17680,51,332633,121,368968,719456
./datasets/PGPgiantcompo.in,16,5232541,10000,200919,52,233008,551,400914,835447
./datasets/PGPgiantcompo.in,4,7794843,10,1005,50,1216538,5,1226759,2444358
./datasets/PGPgiantcompo.in,4,7860268,100,7467,51,1199329,21,1227722,2434592
./datasets/PGPgiantcompo.in,4,7872746,1000,71943,51,1206128,120,1329526,2607771
./datasets/PGPgiantcompo.in,4,7857795,10000,689004,55,1207672,491,1400253,3297477
./datasets/PGPgiantcompo.in,1,15839362,10,2471,49,4697971,0,4699463,9399957
./datasets/PGPgiantcompo.in,1,15900384,100,27120,49,4662636,6,4685120,9374933
./datasets/PGPgiantcompo.in,1,16303103,1000,274007,51,4704327,47,4865509,9843943
./datasets/PGPgiantcompo.in,1,16504279,10000,2728653,63,4779447,283,4158976,11667425
