./datasets/slashdot.in,128,157684918,10,64293,247,7631710,9,7784131,15480393
./datasets/slashdot.in,128,152778606,100,40546,250,8527852,77,8481621,17050349
./datasets/slashdot.in,128,156071948,1000,57139,244,8059343,312,7934442,16051483
./datasets/slashdot.in,128,159817814,10000,323213,238,8447552,1675,8541308,17313988
./datasets/slashdot.in,64,165002014,10,9312,231,7473220,9,8266432,15749207
./datasets/slashdot.in,64,162903914,100,16617,251,8969397,81,7131802,16118150
./datasets/slashdot.in,64,161145575,1000,48715,236,7349569,298,7748348,15147169
./datasets/slashdot.in,64,170742548,10000,375360,238,7924279,1547,7985256,16286682
./datasets/slashdot.in,16,183895320,10,7223,228,16560335,11,17345816,33913615
./datasets/slashdot.in,16,185352200,100,14472,228,16752028,51,16673416,33440198
./datasets/slashdot.in,16,182306033,1000,107356,241,16271339,244,16567167,32946350
./datasets/slashdot.in,16,184162041,10000,1020525,250,17169879,1194,14907377,33099227
./datasets/slashdot.in,4,298876816,10,7468,237,62210146,7,62697972,124915830
./datasets/slashdot.in,4,301463250,100,40502,233,64280481,51,63705443,128026713
./datasets/slashdot.in,4,302149912,1000,402294,243,63471485,212,63928732,127802968
./datasets/slashdot.in,4,305119129,10000,3954285,229,62819858,1044,50033290,116808708
./datasets/slashdot.in,1,625517320,10,15045,228,229629743,3,228658273,458303294
./datasets/slashdot.in,1,583809428,100,188608,227,227484102,15,218682221,446355175
./datasets/slashdot.in,1,645747191,1000,1572725,232,232045945,117,233618314,467237335
./datasets/slashdot.in,1,580461436,10000,15877407,231,228365783,658,167354388,411598469
